"rank","runId","runLabel","replicate","overall_score","latency_score","throughput_score","resource_score","reliability_score","slo_violations","violation_count","latency_p95_ms","latency_p99_ms","throughput_eps","cpu_percent","memory_mb","error_rate_percent","availability_percent","traces_timeout_ms","metrics_timeout_ms","logs_timeout_ms","send_batch_max_size","queue_size","num_consumers","memory_limit_mib","compression","retry_max_elapsed_minutes"
"1","row01-r1-20250921-191853","row01","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","23.75","4589","0.5","99.5","100","500","1000","5000","3000","1","512","gzip","5"
"2","row22-r1-20250921-191853","row22","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","23.36","4358","0.5","99.5","100","1000","5000","20000","3000","4","512","none","10"
"3","row21-r1-20250921-191853","row21","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","27.44","4413","0.5","99.5","500","500","2000","5000","3000","2","2048","gzip","15"
"4","row20-r1-20250921-191853","row20","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","26.82","4368","0.5","99.5","200","500","1000","20000","15000","4","512","none","5"
"5","row19-r1-20250921-191853","row19","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","28.08","4540","0.5","99.5","100","2000","5000","10000","6000","1","1024","gzip","10"
"6","row18-r1-20250921-191853","row18","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","24.09","4581","0.5","99.5","500","1000","1000","5000","15000","2","1024","none","15"
"7","row17-r1-20250921-191853","row17","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","30.95","4526","0.5","99.5","200","1000","5000","20000","6000","1","2048","gzip","5"
"8","row16-r1-20250921-191853","row16","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","24.33","4637","0.5","99.5","100","2000","2000","10000","3000","4","512","none","10"
"9","row15-r1-20250921-191853","row15","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","25.28","4352","0.5","99.5","500","500","5000","10000","3000","1","512","gzip","15"
"10","row14-r1-20250921-191853","row14","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","28.68","4382","0.5","99.5","200","500","2000","5000","15000","4","2048","none","5"
"11","row13-r1-20250921-191853","row13","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","25.98","4364","0.5","99.5","100","1000","1000","20000","6000","2","1024","gzip","10"
"12","row12-r1-20250921-191853","row12","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","23.72","4460","0.5","99.5","500","1000","5000","20000","3000","4","1024","none","15"
"13","row11-r1-20250921-191853","row11","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","28.06","4606","0.5","99.5","200","2000","1000","10000","6000","1","512","none","10"
"14","row10-r1-20250921-191853","row10","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","14.28","4443","0.5","99.5","100","1000","2000","5000","15000","2","2048","none","5"
"15","row09-r1-20250921-191853","row09","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","26.87","4469","0.5","99.5","500","2000","5000","10000","3000","1","2048","gzip","15"
"16","row08-r1-20250921-191853","row08","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","35.32","4501","0.5","99.5","500","2000","2000","5000","15000","2","1024","gzip","10"
"17","row07-r1-20250921-191853","row07","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","22.42","4502","0.5","99.5","500","2000","1000","20000","6000","4","512","gzip","5"
"18","row06-r1-20250921-191853","row06","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","32.23","4103","0.5","99.5","200","1000","5000","5000","6000","4","2048","none","15"
"19","row05-r1-20250921-191853","row05","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","28.36","4536","0.5","99.5","200","1000","2000","20000","15000","1","1024","none","10"
"20","row04-r1-20250921-191853","row04","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","39.75","4614","0.5","99.5","200","1000","1000","10000","3000","2","512","none","5"
"21","row03-r1-20250921-191853","row03","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","32.11","4520","0.5","99.5","100","500","5000","20000","15000","4","2048","gzip","15"
"22","row02-r1-20250921-191853","row02","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","26.92","4685","0.5","99.5","100","500","2000","10000","6000","2","1024","gzip","10"
"23","row23-r1-20250921-191853","row23","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","25.52","4459","0.5","99.5","200","2000","2000","5000","6000","1","1024","gzip","5"
"24","row24-r1-20250921-191853","row24","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","25.59","4304","0.5","99.5","500","500","1000","10000","15000","2","2048","none","15"
