Source,Target,Type,Pattern
.agent/process-tasks.ps1,validation/validate-otlp-exporter.ps1,script-exec,111
.agent/process-tasks.ps1,validation/validate-tail-sampling.ps1,script-exec,152
.agent/process-tasks.ps1,validation/validate-cardinality.ps1,script-exec,193
.agent/process-tasks.ps1,validation/validate-gpu-thermal.ps1,script-exec,230
artifacts/capture-evidence.ps1,.\scripts\verify-integration.ps1,script-exec,41
canary-monitor.ps1,verify-pipeline.ps1,script-exec,70
canary-monitor.ps1,verify-integration.ps1,script-exec,71
deploy-pressure-monitoring.ps1,scripts\test-alerting.ps1,script-exec,83
deploy-pressure-monitoring.ps1,scripts\canary-test.ps1,script-exec,162
quick-status-check.ps1,monitor-parallel-validation.ps1,script-exec,55
scripts/EXECUTE_HANDS_FREE_SWITCH_ON.ps1,scripts\EXECUTE_HANDS_FREE_SWITCH_ON.ps1,script-exec,12
scripts/EXECUTE_HANDS_FREE_SWITCH_ON.ps1,scripts\EXECUTE_HANDS_FREE_SWITCH_ON.ps1,script-exec,31
scripts/EXECUTE_HANDS_FREE_SWITCH_ON.ps1,$PSScriptRoot\bosscat-hands-free-switch-on.ps1,script-exec,60
scripts/PROC.ps1,scripts/process-ecrr-and-boss.ps1,script-exec,16
scripts/agent/enforce-guardrails.ps1,scripts/agent/update-status.ps1,script-exec,270
scripts/agent/health-gate.ps1,scripts/verify-wiring.ps1,script-exec,22
scripts/agent/health-gate.ps1,scripts/verify-wiring.ps1,script-exec,56
scripts/agent/health-gate.ps1,scripts/agent/update-status.ps1,script-exec,76
scripts/agent/health-gate.ps1,scripts/agent/update-status.ps1,script-exec,77
scripts/agent/setup-local.ps1,scripts/agent/health-gate.ps1,script-exec,188
scripts/agent/setup-local.ps1,scripts/agent/update-status.ps1,script-exec,198
scripts/agent/staged-failure-drill.ps1,scripts/agent/remediation.ps1,script-exec,73
scripts/agent/staged-failure-drill.ps1,scripts/agent/remediation.ps1,script-exec,114
scripts/agent/staged-failure-drill.ps1,scripts/agent/remediation.ps1,script-exec,164
scripts/agent/staged-failure-drill.ps1,scripts/agent/webhook-handler.ps1,script-exec,193
scripts/agent/staged-failure-drill.ps1,scripts/agent/webhook-handler.ps1,script-exec,204
scripts/agent/staged-failure-drill.ps1,scripts/agent/webhook-handler.ps1,script-exec,215
scripts/agent/staged-failure-drill.ps1,scripts/agent/webhook-handler.ps1,script-exec,259
scripts/agent/watchdog-enhanced.ps1,scripts/agent/update-status.ps1,script-exec,105
scripts/agent/watchdog-enhanced.ps1,scripts/agent/doctor.ps1,script-exec,131
scripts/agent/watchdog-enhanced.ps1,scripts/agent/update-status.ps1,script-exec,263
scripts/agent/watchdog-enhanced.ps1,scripts/agent/update-status.ps1,script-exec,304
scripts/agent/watchdog.ps1,scripts/agent/update-status.ps1,script-exec,82
scripts/agent/watchdog.ps1,scripts/agent/doctor.ps1,script-exec,103
scripts/agent/watchdog.ps1,scripts/agent/update-status.ps1,script-exec,233
scripts/agent/watchdog.ps1,scripts/agent/update-status.ps1,script-exec,274
scripts/automation-scaling.ps1,scripts/predictive-ssot-automation.ps1,script-exec,608
scripts/automation-scaling.ps1,scripts/ssot-load-balancing.ps1,script-exec,615
scripts/automation-scaling.ps1,scripts/ssot-auto-scaling.ps1,script-exec,622
scripts/automation-scaling.ps1,scripts/intelligent-ssot-alerting.ps1,script-exec,629
scripts/automation-scaling.ps1,scripts/integrated-ssot-scaling.ps1,script-exec,684
scripts/automation-scaling.ps1,scripts/integrated-ssot-scaling.ps1,script-exec,687
scripts/benchmark-orchestrator.ps1,scripts/benchmark-process-all-ecrr-reports.ps1,script-exec,136
scripts/bosscat-auto-execute.ps1,scripts\bosscat-auto-execute.ps1,script-exec,9
scripts/bosscat-auto-execute.ps1,scripts\bosscat-auto-execute.ps1,script-exec,12
scripts/bosscat-auto-execute.ps1,scripts\bosscat-auto-execute.ps1,script-exec,15
scripts/bosscat-auto-execute.ps1,scripts\bosscat-auto-execute.ps1,script-exec,94
scripts/bosscat-auto-execute.ps1,scripts\bosscat-auto-execute.ps1,script-exec,97
scripts/bosscat-cleanup-alerts.ps1,scripts/bosscat-cleanup-alerts.ps1,script-exec,9
scripts/bosscat-cleanup-alerts.ps1,scripts/bosscat-cleanup-alerts.ps1,script-exec,12
scripts/bosscat-create-signoz-alerts.ps1,scripts/bosscat-create-signoz-alerts.ps1,script-exec,11
scripts/bosscat-create-signoz-alerts.ps1,scripts/bosscat-create-signoz-alerts.ps1,script-exec,12
scripts/bosscat-create-signoz-alerts.ps1,scripts/bosscat-create-signoz-alerts.ps1,script-exec,13
scripts/bosscat-golden-snapshot.ps1,scripts/bosscat-golden-snapshot.ps1,script-exec,8
scripts/bosscat-hands-free-switch-on.ps1,scripts/bosscat-hands-free-switch-on.ps1,script-exec,14
scripts/bosscat-hands-free-switch-on.ps1,scripts/bosscat-hands-free-switch-on.ps1,script-exec,29
scripts/bosscat-hands-free-switch-on.ps1,scripts/bosscat-create-signoz-alerts.ps1,script-exec,137
scripts/bosscat-hands-free-switch-on.ps1,scripts/iona-trace-canary.ps1,script-exec,155
scripts/bosscat-hands-free-switch-on.ps1,scripts/bosscat-verify-signoz-completion.ps1,script-exec,175
scripts/bosscat-ops-oneliners.ps1,scripts/bosscat-ops-oneliners.ps1,script-exec,7
scripts/bosscat-sentinel-alert.ps1,scripts/bosscat-sentinel-alert.ps1,script-exec,11
scripts/bosscat-sentinel-alert.ps1,scripts/bosscat-sentinel-alert.ps1,script-exec,26
scripts/bosscat-signoz-smoke-check.ps1,scripts/bosscat-signoz-smoke-check.ps1,script-exec,11
scripts/bosscat-signoz-smoke-check.ps1,scripts/bosscat-signoz-smoke-check.ps1,script-exec,26
scripts/bosscat-steps-7-8.ps1,scripts\iona-canary.ps1,script-exec,58
scripts/bosscat-steps-7-8.ps1,scripts\iona-trace-canary.ps1,script-exec,94
scripts/bosscat-verify-signoz-completion.ps1,scripts/bosscat-verify-signoz-completion.ps1,script-exec,11
scripts/bosscat-verify-signoz-completion.ps1,scripts/bosscat-verify-signoz-completion.ps1,script-exec,12
scripts/bosscat-verify-signoz-completion.ps1,scripts/bosscat-verify-signoz-completion.ps1,script-exec,13
scripts/calc-p95-latency.ps1,scripts\calc-p95-latency.ps1,script-exec,27
scripts/calc-p95-latency.ps1,scripts\calc-p95-latency.ps1,script-exec,30
