Source,Target,Type,Pattern
rolling_run.py,__future__,from-import,8
scripts/agent/tools/create_demo_model.py,onnx,from-import,8
scripts/mock_signoz_api.py,http.server,from-import,7
scripts/mock_signoz_api.py,urllib.parse,from-import,8
scripts/send_synthetic_otel_simple.py,opentelemetry,from-import,14
scripts/send_synthetic_otel_simple.py,opentelemetry.exporter.otlp.proto.grpc.trace_exporter,from-import,15
scripts/send_synthetic_otel_simple.py,opentelemetry.exporter.otlp.proto.http.trace_exporter,from-import,16
scripts/send_synthetic_otel_simple.py,opentelemetry.sdk.trace,from-import,17
scripts/send_synthetic_otel_simple.py,opentelemetry.sdk.trace.export,from-import,18
scripts/send_synthetic_otel_simple.py,opentelemetry.sdk.resources,from-import,19
scripts/send_synthetic_otel_simple.py,opentelemetry.semconv.resource,from-import,20
scripts/send_synthetic_otel_simple.py,opentelemetry.semconv.trace,from-import,21
scripts/t1-production-deploy.py,rolling_run,from-import,17
scripts/test-otlp-smoke.py,unittest.mock,from-import,16
sidecars/aggregation/aggregation_sidecar.py,dataclasses,from-import,14
sidecars/aggregation/aggregation_sidecar.py,fastapi,from-import,25
sidecars/aggregation/aggregation_sidecar.py,pydantic,from-import,26
sidecars/compression/compression_sidecar.py,dataclasses,from-import,15
sidecars/compression/compression_sidecar.py,fastapi,from-import,21
sidecars/compression/compression_sidecar.py,pydantic,from-import,22
sidecars/inference/inference_sidecar.py,dataclasses,from-import,14
sidecars/inference/inference_sidecar.py,fastapi,from-import,19
sidecars/inference/inference_sidecar.py,pydantic,from-import,20
synthetic/send_canary_with_traceid.py,opentelemetry,from-import,27
synthetic/send_canary_with_traceid.py,opentelemetry.sdk.resources,from-import,28
synthetic/send_canary_with_traceid.py,opentelemetry.sdk.trace,from-import,29
synthetic/send_canary_with_traceid.py,opentelemetry.sdk.trace.export,from-import,30
synthetic/send_canary_with_traceid.py,opentelemetry.exporter.otlp.proto.http.trace_exporter,from-import,31
synthetic/send_iona_boot_span.py,opentelemetry,from-import,13
synthetic/send_iona_boot_span.py,opentelemetry.sdk.trace,from-import,14
synthetic/send_iona_boot_span.py,opentelemetry.sdk.trace.export,from-import,15
synthetic/send_iona_boot_span.py,opentelemetry.exporter.otlp.proto.http.trace_exporter,from-import,16
synthetic/send_iona_boot_span.py,opentelemetry.sdk.resources,from-import,17
synthetic/send_synthetic_otel.py,opentelemetry,from-import,2
synthetic/send_synthetic_otel.py,opentelemetry.sdk.resources,from-import,3
synthetic/send_synthetic_otel.py,opentelemetry.sdk.trace,from-import,4
synthetic/send_synthetic_otel.py,opentelemetry.sdk.trace.export,from-import,5
synthetic/send_synthetic_otel.py,opentelemetry.exporter.otlp.proto.grpc.trace_exporter,from-import,6
synthetic/send_synthetic_otel.py,opentelemetry.sdk._logs,from-import,7
synthetic/send_synthetic_otel.py,opentelemetry.exporter.otlp.proto.grpc._log_exporter,from-import,8
synthetic/send_synthetic_otel.py,opentelemetry.sdk._logs.export,from-import,9
synthetic/send_synthetic_otel.py,opentelemetry._logs.severity,from-import,10
synthetic/send_synthetic_otel_simple.py,opentelemetry,from-import,2
synthetic/send_synthetic_otel_simple.py,opentelemetry.sdk.resources,from-import,3
synthetic/send_synthetic_otel_simple.py,opentelemetry.sdk.trace,from-import,4
synthetic/send_synthetic_otel_simple.py,opentelemetry.sdk.trace.export,from-import,5
synthetic/send_synthetic_otel_simple.py,opentelemetry.exporter.otlp.proto.grpc.trace_exporter,from-import,6
tests/locust/bosscat_gate_verification.py,locust,from-import,1
tests/locust/signoz_user_journey.py,locust,from-import,1
experiments/codex-local-logfilter/tests/test_logfilter.py,subprocess,import,1
gpu-metrics-emitter.py,time,import,7
gpu-metrics-simple.py,time,import,7
gpu-voice-analysis.py,torch,import,7
gpu-voice-analysis.py,torchaudio,import,8
gpu-voice-analysis.py,numpy,import,9
gpu-voice-analysis.py,time,import,11
pfac_run.py,time,import,9
pfac_run.py,subprocess,import,12
pfac_run.py,hashlib,import,13
rolling_run.py,ctypes,import,10
rolling_run.py,hashlib,import,11
rolling_run.py,math,import,13
rolling_run.py,shutil,import,15
rolling_run.py,subprocess,import,16
rolling_run.py,time,import,18
rolling_run.py,numpy,import,23
scripts/agent/tools/create_demo_model.py,numpy,import,6
scripts/agent/tools/create_demo_model.py,onnx,import,7
scripts/agent/tools/gpu_infer.py,time,import,12
scripts/archive_signoz_snapshots.py,shutil,import,6
scripts/bosscat_health_check.py,socket,import,5
scripts/generate_status_jsons.py,subprocess,import,20
scripts/generate_status_jsons.py,glob,import,21
scripts/mock_signoz_api.py,threading,import,6
scripts/monitor-ci-pipeline.py,time,import,9
scripts/parse-locust-results.py,csv,import,8
scripts/run-local-pipeline.py,subprocess,import,10
scripts/run-local-pipeline.py,time,import,12
scripts/run-local-pipeline.py,shutil,import,17
scripts/send_synthetic_otel_simple.py,time,import,8
