run_label,traces_timeout_ms,metrics_timeout_ms,logs_timeout_ms,send_batch_max_size,queue_size,num_consumers,memory_limit_mib,compression,retry_max_elapsed_minutes
stage2_row01,100,500,1000,5000,3000,1,512,gzip,5
stage2_row02,100,500,1000,7500,4500,2,768,gzip,7
stage2_row03,100,500,1000,10000,6000,2,768,gzip,10
stage2_row04,150,750,1500,5000,3000,2,512,gzip,5
stage2_row05,150,750,1500,7500,4500,2,768,gzip,7
stage2_row06,150,750,1500,10000,6000,2,768,gzip,10
stage2_row07,200,1000,2000,5000,3000,2,512,gzip,5
stage2_row08,200,1000,2000,7500,4500,2,768,gzip,7
stage2_row09,200,1000,2000,10000,6000,2,768,gzip,10
stage2_row10,100,500,1000,5000,3000,2,512,none,5
stage2_row11,100,500,1000,7500,4500,2,768,none,7
stage2_row12,100,500,1000,10000,6000,2,768,none,10
stage2_row13,150,750,1500,5000,3000,2,512,none,5
stage2_row14,150,750,1500,7500,4500,2,768,none,7
stage2_row15,150,750,1500,10000,6000,2,768,none,10
stage2_row16,200,1000,2000,5000,3000,2,512,none,5
stage2_row17,200,1000,2000,7500,4500,2,768,none,7
stage2_row18,200,1000,2000,10000,6000,2,768,none,10
