"rank","runId","runLabel","replicate","overall_score","latency_score","throughput_score","resource_score","reliability_score","slo_violations","violation_count","latency_p95_ms","latency_p99_ms","throughput_eps","cpu_percent","memory_mb","error_rate_percent","availability_percent","traces_timeout_ms","metrics_timeout_ms","logs_timeout_ms","send_batch_max_size","queue_size","num_consumers","memory_limit_mib","compression","retry_max_elapsed_minutes"
"1","stage2_row01-r1-20250921-231348","stage2_row01","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","19.54","13740","0.5","99.5","100","500","1000","5000","3000","1","512","gzip","5"
"2","stage2_row11-r1-20250921-231348","stage2_row11","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","10.16","13101","0.5","99.5","100","500","1000","7500","4500","2","768","none","7"
"3","stage2_row11-r2-20250921-231348","stage2_row11","2","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","11.67","13065","0.5","99.5","100","500","1000","7500","4500","2","768","none","7"
"4","stage2_row12-r1-20250921-231348","stage2_row12","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","9.55","13075","0.5","99.5","100","500","1000","10000","6000","2","768","none","10"
"5","stage2_row12-r2-20250921-231348","stage2_row12","2","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","16.29","13117","0.5","99.5","100","500","1000","10000","6000","2","768","none","10"
"6","stage2_row13-r1-20250921-231348","stage2_row13","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","11.98","13100","0.5","99.5","150","750","1500","5000","3000","2","512","none","5"
"7","stage2_row13-r2-20250921-231348","stage2_row13","2","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","11.65","12944","0.5","99.5","150","750","1500","5000","3000","2","512","none","5"
"8","stage2_row10-r2-20250921-231348","stage2_row10","2","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","12.78","12836","0.5","99.5","100","500","1000","5000","3000","2","512","none","5"
"9","stage2_row14-r1-20250921-231348","stage2_row14","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","12.11","12837","0.5","99.5","150","750","1500","7500","4500","2","768","none","7"
"10","stage2_row15-r1-20250921-231348","stage2_row15","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","14.76","12822","0.5","99.5","150","750","1500","10000","6000","2","768","none","10"
"11","stage2_row15-r2-20250921-231348","stage2_row15","2","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","18.92","12720","0.5","99.5","150","750","1500","10000","6000","2","768","none","10"
"12","stage2_row16-r1-20250921-231348","stage2_row16","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","16.07","12805","0.5","99.5","200","1000","2000","5000","3000","2","512","none","5"
"13","stage2_row16-r2-20250921-231348","stage2_row16","2","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","16.11","12828","0.5","99.5","200","1000","2000","5000","3000","2","512","none","5"
"14","stage2_row17-r1-20250921-231348","stage2_row17","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","15.32","12817","0.5","99.5","200","1000","2000","7500","4500","2","768","none","7"
"15","stage2_row17-r2-20250921-231348","stage2_row17","2","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","20.34","12630","0.5","99.5","200","1000","2000","7500","4500","2","768","none","7"
"16","stage2_row14-r2-20250921-231348","stage2_row14","2","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","17.07","12806","0.5","99.5","150","750","1500","7500","4500","2","768","none","7"
"17","stage2_row10-r1-20250921-231348","stage2_row10","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","10.65","12837","0.5","99.5","100","500","1000","5000","3000","2","512","none","5"
"18","stage2_row09-r2-20250921-231348","stage2_row09","2","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","8.54","12857","0.5","99.5","200","1000","2000","10000","6000","2","768","gzip","10"
"19","stage2_row09-r1-20250921-231348","stage2_row09","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","18.83","12992","0.5","99.5","200","1000","2000","10000","6000","2","768","gzip","10"
"20","stage2_row01-r2-20250921-231348","stage2_row01","2","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","22.58","14041","0.5","99.5","100","500","1000","5000","3000","1","512","gzip","5"
"21","stage2_row02-r1-20250921-231348","stage2_row02","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","20.44","13967","0.5","99.5","100","500","1000","7500","4500","2","768","gzip","7"
"22","stage2_row02-r2-20250921-231348","stage2_row02","2","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","15.45","13775","0.5","99.5","100","500","1000","7500","4500","2","768","gzip","7"
"23","stage2_row03-r1-20250921-231348","stage2_row03","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","21.13","13837","0.5","99.5","100","500","1000","10000","6000","2","768","gzip","10"
"24","stage2_row03-r2-20250921-231348","stage2_row03","2","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","14.43","13781","0.5","99.5","100","500","1000","10000","6000","2","768","gzip","10"
"25","stage2_row04-r1-20250921-231348","stage2_row04","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","16.11","13739","0.5","99.5","150","750","1500","5000","3000","2","512","gzip","5"
"26","stage2_row04-r2-20250921-231348","stage2_row04","2","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","15.28","13950","0.5","99.5","150","750","1500","5000","3000","2","512","gzip","5"
"27","stage2_row05-r1-20250921-231348","stage2_row05","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","14.73","13898","0.5","99.5","150","750","1500","7500","4500","2","768","gzip","7"
"28","stage2_row05-r2-20250921-231348","stage2_row05","2","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","16.17","13804","0.5","99.5","150","750","1500","7500","4500","2","768","gzip","7"
"29","stage2_row06-r1-20250921-231348","stage2_row06","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","15.32","13780","0.5","99.5","150","750","1500","10000","6000","2","768","gzip","10"
"30","stage2_row06-r2-20250921-231348","stage2_row06","2","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","18.74","13336","0.5","99.5","150","750","1500","10000","6000","2","768","gzip","10"
"31","stage2_row07-r1-20250921-231348","stage2_row07","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","15.8","13391","0.5","99.5","200","1000","2000","5000","3000","2","512","gzip","5"
"32","stage2_row07-r2-20250921-231348","stage2_row07","2","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","16.78","13419","0.5","99.5","200","1000","2000","5000","3000","2","512","gzip","5"
"33","stage2_row08-r1-20250921-231348","stage2_row08","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","16.07","13547","0.5","99.5","200","1000","2000","7500","4500","2","768","gzip","7"
"34","stage2_row08-r2-20250921-231348","stage2_row08","2","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","7.75","13601","0.5","99.5","200","1000","2000","7500","4500","2","768","gzip","7"
"35","stage2_row18-r1-20250921-231348","stage2_row18","1","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","15.97","12674","0.5","99.5","200","1000","2000","10000","6000","2","768","none","10"
"36","stage2_row18-r2-20250921-231348","stage2_row18","2","0.475","0","0.25","0.125","0.1","throughput;memory_usage","2","100","500","800","12.18","12727","0.5","99.5","200","1000","2000","10000","6000","2","768","none","10"
