CONTAINER ID   NAME                           CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
4a232371fd1e   demo-app                       0.00%     98.3MiB / 15.58GiB    0.62%     235kB / 962kB     0B / 0B     11
8c5e02a80457   signoz-otel-collector          1.32%     84.33MiB / 15.58GiB   0.53%     38.9MB / 65.5MB   0B / 0B     29
1bead08ffe31   signoz                         0.00%     74.16MiB / 15.58GiB   0.46%     1.65MB / 1.14MB   0B / 0B     27
289e7289043a   signoz-schema-migrator-async   0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B     0
a548175c26ef   signoz-schema-migrator-sync    0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B     0
20662e1eea4a   signoz-clickhouse              4.42%     1.517GiB / 15.58GiB   9.74%     66.2MB / 38.2MB   0B / 0B     773
1de8b4e6a645   gpu-aggregation                0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B     0
385b68a0e70f   gpu-compression                0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B     0
8a7f56a2924f   gpu-inference                  0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B     0
4f53661ef2ba   signoz-zookeeper               0.46%     232.9MiB / 15.58GiB   1.46%     410kB / 614kB     0B / 0B     129
