id,trace_id,scope_version,body,resources_string,trace_flags,severity_number,scope_name,timestamp,attributes_string,attributes_bool,span_id,severity_text,attributes_number,scope_string
0i2a88AFgoBVWUC31UMDzKMaytE,,,"{""channel"":""Application"",""computer"":""D-MONOLITH"",""event_data"":{""data"":[{"""":""1.7587371125530636e+09\tinfo\tLogsExporter\t{\""kind\"": \""exporter\"", \""data_type\"": \""logs\"", \""name\"": \""logging\"", \""resource logs\"": 1, \""log records\"": 1}\n""}]},""event_id"":{""id"":1,""qualifiers"":0},""execution"":{""process_id"":44668,""thread_id"":0},""keywords"":[""Classic""],""level"":""Information"",""message"":""1.7587371125530636e+09\tinfo\tLogsExporter\t{\""kind\"": \""exporter\"", \""data_type\"": \""logs\"", \""name\"": \""logging\"", \""resource logs\"": 1, \""log records\"": 1}\r\n"",""opcode"":""Info"",""provider"":{""event_source"":"""",""guid"":"""",""name"":""otelcol-contrib""},""record_id"":356936,""system_time"":""2025-09-24T18:05:12.5532453Z"",""task"":""None""}","{""deployment.environment"":""local-dev"",""service.name"":""windows-host""}",0,9,,1758737112553245300,"{""dataset"":""windows""}",{},,INFO,{},{}
0i2a86TuiFxlnMkxB8PbBdSSWHG,,,"{""channel"":""Application"",""computer"":""D-MONOLITH"",""event_data"":{""data"":[{"""":""1.7587371116250517e+09\tinfo\tLogsExporter\t{\""kind\"": \""exporter\"", \""data_type\"": \""logs\"", \""name\"": \""logging\"", \""resource logs\"": 1, \""log records\"": 1}\n""}]},""event_id"":{""id"":1,""qualifiers"":0},""execution"":{""process_id"":44668,""thread_id"":0},""keywords"":[""Classic""],""level"":""Information"",""message"":""1.7587371116250517e+09\tinfo\tLogsExporter\t{\""kind\"": \""exporter\"", \""data_type\"": \""logs\"", \""name\"": \""logging\"", \""resource logs\"": 1, \""log records\"": 1}\r\n"",""opcode"":""Info"",""provider"":{""event_source"":"""",""guid"":"""",""name"":""otelcol-contrib""},""record_id"":356935,""system_time"":""2025-09-24T18:05:11.6255655Z"",""task"":""None""}","{""deployment.environment"":""local-dev"",""service.name"":""windows-host""}",0,9,,1758737111625565500,"{""dataset"":""windows""}",{},,INFO,{},{}
0i2a84F1wREhZ844ru42mkBlxUI,,,"{""channel"":""Application"",""computer"":""D-MONOLITH"",""event_data"":{""data"":[{"""":""1.758737110390568e+09\tinfo\tLogsExporter\t{\""kind\"": \""exporter\"", \""data_type\"": \""logs\"", \""name\"": \""logging\"", \""resource logs\"": 1, \""log records\"": 1}\n""}]},""event_id"":{""id"":1,""qualifiers"":0},""execution"":{""process_id"":44668,""thread_id"":0},""keywords"":[""Classic""],""level"":""Information"",""message"":""1.758737110390568e+09\tinfo\tLogsExporter\t{\""kind\"": \""exporter\"", \""data_type\"": \""logs\"", \""name\"": \""logging\"", \""resource logs\"": 1, \""log records\"": 1}\r\n"",""opcode"":""Info"",""provider"":{""event_source"":"""",""guid"":"""",""name"":""otelcol-contrib""},""record_id"":356934,""system_time"":""2025-09-24T18:05:10.3907429Z"",""task"":""None""}","{""deployment.environment"":""local-dev"",""service.name"":""windows-host""}",0,9,,1758737110390742900,"{""dataset"":""windows""}",{},,INFO,{},{}
0i2a82Z5qX2HMLsPvd0fg30dhar,,,"{""channel"":""Application"",""computer"":""D-MONOLITH"",""event_data"":{""data"":[{"""":""1.758737109466395e+09\tinfo\tLogsExporter\t{\""kind\"": \""exporter\"", \""data_type\"": \""logs\"", \""name\"": \""logging\"", \""resource logs\"": 1, \""log records\"": 1}\n""}]},""event_id"":{""id"":1,""qualifiers"":0},""execution"":{""process_id"":44668,""thread_id"":0},""keywords"":[""Classic""],""level"":""Information"",""message"":""1.758737109466395e+09\tinfo\tLogsExporter\t{\""kind\"": \""exporter\"", \""data_type\"": \""logs\"", \""name\"": \""logging\"", \""resource logs\"": 1, \""log records\"": 1}\r\n"",""opcode"":""Info"",""provider"":{""event_source"":"""",""guid"":"""",""name"":""otelcol-contrib""},""record_id"":356933,""system_time"":""2025-09-24T18:05:09.4666312Z"",""task"":""None""}","{""deployment.environment"":""local-dev"",""service.name"":""windows-host""}",0,9,,1758737109466631200,"{""dataset"":""windows""}",{},,INFO,{},{}
0i2a80st8xItr84bj71nz8iju7u,,,"{""channel"":""Application"",""computer"":""D-MONOLITH"",""event_data"":{""data"":[{"""":""1.7587371085399573e+09\tinfo\tLogsExporter\t{\""kind\"": \""exporter\"", \""data_type\"": \""logs\"", \""name\"": \""logging\"", \""resource logs\"": 1, \""log records\"": 2}\n""}]},""event_id"":{""id"":1,""qualifiers"":0},""execution"":{""process_id"":44668,""thread_id"":0},""keywords"":[""Classic""],""level"":""Information"",""message"":""1.7587371085399573e+09\tinfo\tLogsExporter\t{\""kind\"": \""exporter\"", \""data_type\"": \""logs\"", \""name\"": \""logging\"", \""resource logs\"": 1, \""log records\"": 2}\r\n"",""opcode"":""Info"",""provider"":{""event_source"":"""",""guid"":"""",""name"":""otelcol-contrib""},""record_id"":356932,""system_time"":""2025-09-24T18:05:08.5401379Z"",""task"":""None""}","{""deployment.environment"":""local-dev"",""service.name"":""windows-host""}",0,9,,1758737108540137900,"{""dataset"":""windows""}",{},,INFO,{},{}
0i2a80FttwGZB9bKdE9fh9MudkP,,,"{""channel"":""Application"",""computer"":""D-MONOLITH"",""event_data"":{""data"":[{"""":""1.7587371081931596e+09\twarn\tinternal/transaction.go:125\tFailed to scrape Prometheus endpoint\t{\""kind\"": \""receiver\"", \""name\"": \""prometheus/gpu\"", \""data_type\"": \""metrics\"", \""scrape_timestamp\"": 1758737108185, \""target_labels\"": \""{__name__=\\\""up\\\"", instance=\\\""localhost:9400\\\"", job=\\\""gpu-exporter\\\""}\""}\n""}]},""event_id"":{""id"":2,""qualifiers"":0},""execution"":{""process_id"":44668,""thread_id"":0},""keywords"":[""Classic""],""level"":""Warning"",""message"":""1.7587371081931596e+09\twarn\tinternal/transaction.go:125\tFailed to scrape Prometheus endpoint\t{\""kind\"": \""receiver\"", \""name\"": \""prometheus/gpu\"", \""data_type\"": \""metrics\"", \""scrape_timestamp\"": 1758737108185, \""target_labels\"": \""{__name__=\\\""up\\\"", instance=\\\""localhost:9400\\\"", job=\\\""gpu-exporter\\\""}\""}\r\n"",""opcode"":""Info"",""provider"":{""event_source"":"""",""guid"":"""",""name"":""otelcol-contrib""},""record_id"":356931,""system_time"":""2025-09-24T18:05:08.1934947Z"",""task"":""None""}","{""deployment.environment"":""local-dev"",""service.name"":""windows-host""}",0,13,,1758737108193494700,"{""dataset"":""windows""}",{},,WARN,{},{}
0i2a7zCR3PfkUH5T5akV9WkNAIK,,,"{""channel"":""Application"",""computer"":""D-MONOLITH"",""event_data"":{""data"":[{"""":""1.7587371076110094e+09\tinfo\tLogsExporter\t{\""kind\"": \""exporter\"", \""data_type\"": \""logs\"", \""name\"": \""logging\"", \""resource logs\"": 1, \""log records\"": 1}\n""}]},""event_id"":{""id"":1,""qualifiers"":0},""execution"":{""process_id"":44668,""thread_id"":0},""keywords"":[""Classic""],""level"":""Information"",""message"":""1.7587371076110094e+09\tinfo\tLogsExporter\t{\""kind\"": \""exporter\"", \""data_type\"": \""logs\"", \""name\"": \""logging\"", \""resource logs\"": 1, \""log records\"": 1}\r\n"",""opcode"":""Info"",""provider"":{""event_source"":"""",""guid"":"""",""name"":""otelcol-contrib""},""record_id"":356930,""system_time"":""2025-09-24T18:05:07.6114381Z"",""task"":""None""}","{""deployment.environment"":""local-dev"",""service.name"":""windows-host""}",0,9,,1758737107611438100,"{""dataset"":""windows""}",{},,INFO,{},{}
0i2a7wxMriapMH0PDtyfu7gfoqO,,,"{""channel"":""Application"",""computer"":""D-MONOLITH"",""event_data"":{""data"":[{"""":""1.7587371063747742e+09\tinfo\tLogsExporter\t{\""kind\"": \""exporter\"", \""data_type\"": \""logs\"", \""name\"": \""logging\"", \""resource logs\"": 1, \""log records\"": 1}\n""}]},""event_id"":{""id"":1,""qualifiers"":0},""execution"":{""process_id"":44668,""thread_id"":0},""keywords"":[""Classic""],""level"":""Information"",""message"":""1.7587371063747742e+09\tinfo\tLogsExporter\t{\""kind\"": \""exporter\"", \""data_type\"": \""logs\"", \""name\"": \""logging\"", \""resource logs\"": 1, \""log records\"": 1}\r\n"",""opcode"":""Info"",""provider"":{""event_source"":"""",""guid"":"""",""name"":""otelcol-contrib""},""record_id"":356929,""system_time"":""2025-09-24T18:05:06.3749782Z"",""task"":""None""}","{""deployment.environment"":""local-dev"",""service.name"":""windows-host""}",0,9,,1758737106374978200,"{""dataset"":""windows""}",{},,INFO,{},{}
0i2a7vHh3atYldjWCRIX6iWq7Df,,,"{""channel"":""Application"",""computer"":""D-MONOLITH"",""event_data"":{""data"":[{"""":""1.7587371054529767e+09\tinfo\tLogsExporter\t{\""kind\"": \""exporter\"", \""data_type\"": \""logs\"", \""name\"": \""logging\"", \""resource logs\"": 1, \""log records\"": 1}\n""}]},""event_id"":{""id"":1,""qualifiers"":0},""execution"":{""process_id"":44668,""thread_id"":0},""keywords"":[""Classic""],""level"":""Information"",""message"":""1.7587371054529767e+09\tinfo\tLogsExporter\t{\""kind\"": \""exporter\"", \""data_type\"": \""logs\"", \""name\"": \""logging\"", \""resource logs\"": 1, \""log records\"": 1}\r\n"",""opcode"":""Info"",""provider"":{""event_source"":"""",""guid"":"""",""name"":""otelcol-contrib""},""record_id"":356928,""system_time"":""2025-09-24T18:05:05.4532021Z"",""task"":""None""}","{""deployment.environment"":""local-dev"",""service.name"":""windows-host""}",0,9,,1758737105453202100,"{""dataset"":""windows""}",{},,INFO,{},{}
0i2a7tbw1AUu8Au84LbfAcAcYfw,,,"{""channel"":""Application"",""computer"":""D-MONOLITH"",""event_data"":{""data"":[{"""":""1.758737104530469e+09\tinfo\tLogsExporter\t{\""kind\"": \""exporter\"", \""data_type\"": \""logs\"", \""name\"": \""logging\"", \""resource logs\"": 1, \""log records\"": 1}\n""}]},""event_id"":{""id"":1,""qualifiers"":0},""execution"":{""process_id"":44668,""thread_id"":0},""keywords"":[""Classic""],""level"":""Information"",""message"":""1.758737104530469e+09\tinfo\tLogsExporter\t{\""kind\"": \""exporter\"", \""data_type\"": \""logs\"", \""name\"": \""logging\"", \""resource logs\"": 1, \""log records\"": 1}\r\n"",""opcode"":""Info"",""provider"":{""event_source"":"""",""guid"":"""",""name"":""otelcol-contrib""},""record_id"":356927,""system_time"":""2025-09-24T18:05:04.5306759Z"",""task"":""None""}","{""deployment.environment"":""local-dev"",""service.name"":""windows-host""}",0,9,,1758737104530675900,"{""dataset"":""windows""}",{},,INFO,{},{}
