run_label,traces_timeout_ms,metrics_timeout_ms,logs_timeout_ms,send_batch_max_size,queue_size,num_consumers,memory_limit_mib,compression,retry_max_elapsed_minutes
row01,100,500,1000,5000,3000,1,512,gzip,5
row02,100,500,2000,10000,6000,2,1024,gzip,10
row03,100,500,5000,20000,15000,4,2048,gzip,15
row04,200,1000,1000,10000,3000,2,512,none,5
row05,200,1000,2000,20000,15000,1,1024,none,10
row06,200,1000,5000,5000,6000,4,2048,none,15
row07,500,2000,1000,20000,6000,4,512,gzip,5
row08,500,2000,2000,5000,15000,2,1024,gzip,10
row09,500,2000,5000,10000,3000,1,2048,gzip,15
row10,100,1000,2000,5000,15000,2,2048,none,5
row11,200,2000,1000,10000,6000,1,512,none,10
row12,500,1000,5000,20000,3000,4,1024,none,15
row13,100,1000,1000,20000,6000,2,1024,gzip,10
row14,200,500,2000,5000,15000,4,2048,none,5
row15,500,500,5000,10000,3000,1,512,gzip,15
row16,100,2000,2000,10000,3000,4,512,none,10
row17,200,1000,5000,20000,6000,1,2048,gzip,5
row18,500,1000,1000,5000,15000,2,1024,none,15
row19,100,2000,5000,10000,6000,1,1024,gzip,10
row20,200,500,1000,20000,15000,4,512,none,5
row21,500,500,2000,5000,3000,2,2048,gzip,15
row22,100,1000,5000,20000,3000,4,512,none,10
row23,200,2000,2000,5000,6000,1,1024,gzip,5
row24,500,500,1000,10000,15000,2,2048,none,15
